Time,Computation Time,Objective Values,Pressure Values,Travel Time w Buffer,Travel Time wo Buffer,Throughput,Vehicle Speed,Waiting Vehicles Per Intersection,Waiting Vehicles Per Lane,Waiting Vehicles Per Lane Max,Waiting Time Per Vehicle,Waiting Time Per Vehicle Max,Number of Stops,Number of Vehicles Entered the Network,Phase Change Frequency
260,0.0004239082336425781,20.055555555555554,20.055555555555554,,,0.6416666666666667,5.010297467838452,32.0,2.064516129032258,18.22222222222222,123.74660956459671,,,,
280,0.0004436969757080078,20.222222222222225,20.222222222222225,,,0.7000000000000001,4.626480445896845,33.666666666666664,2.172043010752688,17.77777777777778,123.74660956459671,,,,
300,0.00043392181396484375,19.944444444444443,19.944444444444443,,,0.7000000000000001,4.988479187668994,32.0,2.064516129032258,18.22222222222222,123.74660956459671,,,,
320,0.0004279613494873047,20.166666666666668,20.166666666666668,,,0.7000000000000001,4.644603781570306,33.833333333333336,2.182795698924731,17.88888888888889,123.74660956459671,,,,
340,0.00045990943908691406,20.055555555555554,20.055555555555554,,,0.7000000000000001,5.04812428723413,31.666666666666668,2.043010752688172,18.0,123.74660956459671,,,,
360,0.00041794776916503906,20.222222222222225,20.222222222222225,,,0.7000000000000001,4.635024949100078,33.833333333333336,2.182795698924731,17.88888888888889,123.74660956459671,,,,
380,0.0004208087921142578,20.0,20.0,,,0.7000000000000001,5.000978157016202,32.333333333333336,2.086021505376344,18.444444444444443,123.74660956459671,,,,
400,0.00043201446533203125,20.166666666666668,20.166666666666668,,,0.7000000000000001,4.636457145506095,34.0,2.193548387096774,17.88888888888889,123.74660956459671,,,,
420,0.00046896934509277344,20.055555555555554,20.055555555555554,,,0.7000000000000001,5.04788034179514,31.833333333333332,2.053763440860215,18.11111111111111,123.74660956459671,,,,
440,0.00041604042053222656,20.222222222222225,20.222222222222225,,,0.7000000000000001,4.63167559924288,34.0,2.193548387096774,18.0,123.74660956459671,,,,
460,0.0005559921264648438,19.944444444444443,19.944444444444443,,,0.7000000000000001,4.973715680662052,32.0,2.064516129032258,18.22222222222222,123.74660956459671,,,,
480,0.0005292892456054688,20.13888888888889,20.13888888888889,,,0.7000000000000001,4.6817011990375175,33.833333333333336,2.182795698924731,17.88888888888889,123.74660956459671,,,,
500,0.00046372413635253906,20.055555555555554,20.055555555555554,,,0.7000000000000001,5.021712329908472,32.0,2.064516129032258,18.22222222222222,123.74660956459671,,,,
520,0.000514984130859375,20.222222222222225,20.222222222222225,,,0.7000000000000001,4.671778692889818,33.333333333333336,2.150537634408602,17.555555555555557,123.74660956459671,,,,
540,0.0006558895111083984,20.0,20.0,,,0.7000000000000001,4.992444897752721,32.333333333333336,2.086021505376344,18.444444444444443,123.74660956459671,,,,
560,0.0005109310150146484,20.166666666666668,20.166666666666668,,,0.7000000000000001,4.637146130606,34.166666666666664,2.204301075268817,18.0,123.74660956459671,,,,
580,0.000431060791015625,20.055555555555554,20.055555555555554,,,0.7000000000000001,5.019433028147988,31.833333333333332,2.053763440860215,18.11111111111111,123.74660956459671,,,,
